"tab_code","表章項目","cat01_code","宿泊施設タイプ","cat02_code","宿泊者数","area_code","施設所在地","time_code","時間軸(年次、月次)","unit","value"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000000","2014年","人","4488630"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014001212","2014年12月","人","331660"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014001111","2014年11月","人","377160"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014001010","2014年10月","人","448090"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000909","2014年9月","人","405340"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000808","2014年8月","人","511940"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000707","2014年7月","人","382770"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000606","2014年6月","人","342420"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000505","2014年5月","人","394100"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000404","2014年4月","人","307080"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000303","2014年3月","人","347190"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000202","2014年2月","人","309490"
"120","実宿泊者数","100","合計","120","実宿泊者数","03000","岩手県","2014000101","2014年1月","人","331390"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000000","2016年","人","7243230"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016001212","2016年12月","人","581960"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016001111","2016年11月","人","609020"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016001010","2016年10月","人","667490"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000909","2016年9月","人","601060"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000808","2016年8月","人","744320"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000707","2016年7月","人","617930"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000606","2016年6月","人","574340"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000505","2016年5月","人","584920"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000404","2016年4月","人","571050"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000303","2016年3月","人","612690"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000202","2016年2月","人","536790"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2016000101","2016年1月","人","541660"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000000","2015年","人","8000490"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015001212","2015年12月","人","666020"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015001111","2015年11月","人","727390"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015001010","2015年10月","人","748270"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000909","2015年9月","人","743910"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000808","2015年8月","人","860130"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000707","2015年7月","人","669600"
"120","実宿泊者数","100","合計","120","実宿泊者数","04000","宮城県","2015000606","2015年6月","人","619550"
